pilot_unit_id,source_name,disclosure_function_id,function_display_name,tier,default_applicability,selection_rationale,specification_version,corpus_lock_reference
NL-ALGO-REG__om_risk_or_impact,NL-ALGO-REG,om_risk_or_impact,Risk or impact designation,module,object_specific,linkage: risks primary; impacttoetsen not PRIMARY,1.0.0,12ea6282efcf338d362c8eb91a9beffe8dd7eae9f70aa2805723b386c9c8d693
US-OMB-2025__cf_system_identity,US-OMB-2025,cf_system_identity,System or use-case identity,core,universal,descriptive_only identity,1.0.0,12ea6282efcf338d362c8eb91a9beffe8dd7eae9f70aa2805723b386c9c8d693
UK-ATRS__cf_system_identity,UK-ATRS,cf_system_identity,System or use-case identity,core,universal,descriptive_only + record_locator link,1.0.0,12ea6282efcf338d362c8eb91a9beffe8dd7eae9f70aa2805723b386c9c8d693
NL-ALGO-REG__om_legal_basis,NL-ALGO-REG,om_legal_basis,Legal basis,module,jurisdiction_specific,jurisdiction_specific: lawful_basis,1.0.0,12ea6282efcf338d362c8eb91a9beffe8dd7eae9f70aa2805723b386c9c8d693
CA-GC-AI-REG__cf_data_involvement,CA-GC-AI-REG,cf_data_involvement,Data involvement,core,universal,data_involvement primary PI flag,1.0.0,12ea6282efcf338d362c8eb91a9beffe8dd7eae9f70aa2805723b386c9c8d693
CA-GC-AI-REG__cf_operational_status,CA-GC-AI-REG,cf_operational_status,Operational status,core,universal,clear_dedicated status,1.0.0,12ea6282efcf338d362c8eb91a9beffe8dd7eae9f70aa2805723b386c9c8d693
EU-PSTW__cf_operational_status,EU-PSTW,cf_operational_status,Operational status,core,object_specific,PSTW Status with leading-space raw field,1.0.0,12ea6282efcf338d362c8eb91a9beffe8dd7eae9f70aa2805723b386c9c8d693
EU-PSTW__cf_accountable_body,EU-PSTW,cf_accountable_body,Accountable body identification,core,object_specific,Responsible organisation peer-like on catalogue,1.0.0,12ea6282efcf338d362c8eb91a9beffe8dd7eae9f70aa2805723b386c9c8d693
NL-ALGO-REG__cf_data_involvement,NL-ALGO-REG,cf_data_involvement,Data involvement,core,universal,source_data primary,1.0.0,12ea6282efcf338d362c8eb91a9beffe8dd7eae9f70aa2805723b386c9c8d693
NL-ALGO-REG__cf_operational_status,NL-ALGO-REG,cf_operational_status,Operational status,core,universal,clear_dedicated status,1.0.0,12ea6282efcf338d362c8eb91a9beffe8dd7eae9f70aa2805723b386c9c8d693
US-OMB-2025__cf_purpose,US-OMB-2025,cf_purpose,Purpose,core,universal,clear_dedicated problem_solved,1.0.0,12ea6282efcf338d362c8eb91a9beffe8dd7eae9f70aa2805723b386c9c8d693
US-OMB-2025__cf_accountable_body,US-OMB-2025,cf_accountable_body,Accountable body identification,core,universal,agency_name dedicated,1.0.0,12ea6282efcf338d362c8eb91a9beffe8dd7eae9f70aa2805723b386c9c8d693
UK-ATRS__om_technical_method,UK-ATRS,om_technical_method,Technical method or capability,module,object_specific,clear_absent on API slim,1.0.0,12ea6282efcf338d362c8eb91a9beffe8dd7eae9f70aa2805723b386c9c8d693
UK-ATRS__cf_data_involvement,UK-ATRS,cf_data_involvement,Data involvement,core,object_specific,clear_absent on API slim,1.0.0,12ea6282efcf338d362c8eb91a9beffe8dd7eae9f70aa2805723b386c9c8d693
