profile_id,profile_group,d2_input_level,d4_input_level,d6_input_level,d1_score,d2_score,d3_score,d4_score,d5_score,d6_score,overall_maturity,readiness_raw,readiness_final,readiness_band,safeguard_applied,readiness_delta_raw_final
grb_sens_0022,low_d2,2,3,3,3.0,2.0,3.0,3.0,3.0,3.0,2.833,70.83,70.83,Substantially ready,False,0.0
grb_sens_0023,low_d2,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75.0,75.0,Advanced readiness,False,0.0
grb_sens_0024,low_d2,4,3,3,3.0,4.0,3.0,3.0,3.0,3.0,3.167,79.17,79.17,Advanced readiness,False,0.0
grb_sens_0025,low_d2,0,3,3,3.0,0.0,3.0,3.0,3.0,3.0,2.5,62.5,60.0,Substantially ready,True,2.5
grb_sens_0026,low_d2,1,3,3,3.0,1.0,3.0,3.0,3.0,3.0,2.667,66.67,60.0,Substantially ready,True,6.67
grb_sens_0027,low_d2,2,3,3,3.0,2.0,3.0,3.0,3.0,3.0,2.833,70.83,70.83,Substantially ready,False,0.0
grb_sens_0028,low_d2,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75.0,75.0,Advanced readiness,False,0.0
grb_sens_0029,low_d2,4,3,3,3.0,4.0,3.0,3.0,3.0,3.0,3.167,79.17,79.17,Advanced readiness,False,0.0
grb_sens_0030,low_d2,0,3,3,3.0,0.0,3.0,3.0,3.0,3.0,2.5,62.5,60.0,Substantially ready,True,2.5
grb_sens_0031,low_d2,1,3,3,3.0,1.0,3.0,3.0,3.0,3.0,2.667,66.67,60.0,Substantially ready,True,6.67
grb_sens_0032,low_d2,2,3,3,3.0,2.0,3.0,3.0,3.0,3.0,2.833,70.83,70.83,Substantially ready,False,0.0
grb_sens_0033,low_d2,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75.0,75.0,Advanced readiness,False,0.0
grb_sens_0034,low_d2,4,3,3,3.0,4.0,3.0,3.0,3.0,3.0,3.167,79.17,79.17,Advanced readiness,False,0.0
grb_sens_0035,low_d2,0,3,3,3.0,0.0,3.0,3.0,3.0,3.0,2.5,62.5,60.0,Substantially ready,True,2.5
grb_sens_0036,low_d2,1,3,3,3.0,1.0,3.0,3.0,3.0,3.0,2.667,66.67,60.0,Substantially ready,True,6.67
grb_sens_0037,low_d2,2,3,3,3.0,2.0,3.0,3.0,3.0,3.0,2.833,70.83,70.83,Substantially ready,False,0.0
grb_sens_0038,low_d2,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75.0,75.0,Advanced readiness,False,0.0
grb_sens_0039,low_d2,4,3,3,3.0,4.0,3.0,3.0,3.0,3.0,3.167,79.17,79.17,Advanced readiness,False,0.0
grb_sens_0040,low_d4,3,0,3,3.0,3.0,3.0,0.0,3.0,3.0,2.5,62.5,60.0,Substantially ready,True,2.5
grb_sens_0041,low_d4,3,1,3,3.0,3.0,3.0,1.0,3.0,3.0,2.667,66.67,60.0,Substantially ready,True,6.67
grb_sens_0042,low_d4,3,2,3,3.0,3.0,3.0,2.0,3.0,3.0,2.833,70.83,70.83,Substantially ready,False,0.0
grb_sens_0043,low_d4,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75.0,75.0,Advanced readiness,False,0.0
grb_sens_0044,low_d4,3,4,3,3.0,3.0,3.0,4.0,3.0,3.0,3.167,79.17,79.17,Advanced readiness,False,0.0
grb_sens_0045,low_d4,3,0,3,3.0,3.0,3.0,0.0,3.0,3.0,2.5,62.5,60.0,Substantially ready,True,2.5
grb_sens_0046,low_d4,3,1,3,3.0,3.0,3.0,1.0,3.0,3.0,2.667,66.67,60.0,Substantially ready,True,6.67
grb_sens_0047,low_d4,3,2,3,3.0,3.0,3.0,2.0,3.0,3.0,2.833,70.83,70.83,Substantially ready,False,0.0
grb_sens_0048,low_d4,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75.0,75.0,Advanced readiness,False,0.0
grb_sens_0049,low_d4,3,4,3,3.0,3.0,3.0,4.0,3.0,3.0,3.167,79.17,79.17,Advanced readiness,False,0.0
grb_sens_0050,low_d4,3,0,3,3.0,3.0,3.0,0.0,3.0,3.0,2.5,62.5,60.0,Substantially ready,True,2.5
grb_sens_0051,low_d4,3,1,3,3.0,3.0,3.0,1.0,3.0,3.0,2.667,66.67,60.0,Substantially ready,True,6.67
grb_sens_0052,low_d4,3,2,3,3.0,3.0,3.0,2.0,3.0,3.0,2.833,70.83,70.83,Substantially ready,False,0.0
grb_sens_0053,low_d4,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75.0,75.0,Advanced readiness,False,0.0
grb_sens_0054,low_d4,3,4,3,3.0,3.0,3.0,4.0,3.0,3.0,3.167,79.17,79.17,Advanced readiness,False,0.0
grb_sens_0055,low_d4,3,0,3,3.0,3.0,3.0,0.0,3.0,3.0,2.5,62.5,60.0,Substantially ready,True,2.5
grb_sens_0056,low_d4,3,1,3,3.0,3.0,3.0,1.0,3.0,3.0,2.667,66.67,60.0,Substantially ready,True,6.67
grb_sens_0057,low_d4,3,2,3,3.0,3.0,3.0,2.0,3.0,3.0,2.833,70.83,70.83,Substantially ready,False,0.0
grb_sens_0058,low_d4,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75.0,75.0,Advanced readiness,False,0.0
grb_sens_0059,low_d4,3,4,3,3.0,3.0,3.0,4.0,3.0,3.0,3.167,79.17,79.17,Advanced readiness,False,0.0
grb_sens_0060,low_d4,3,0,3,3.0,3.0,3.0,0.0,3.0,3.0,2.5,62.5,60.0,Substantially ready,True,2.5
grb_sens_0061,low_d4,3,1,3,3.0,3.0,3.0,1.0,3.0,3.0,2.667,66.67,60.0,Substantially ready,True,6.67
grb_sens_0062,low_d4,3,2,3,3.0,3.0,3.0,2.0,3.0,3.0,2.833,70.83,70.83,Substantially ready,False,0.0
grb_sens_0063,low_d4,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75.0,75.0,Advanced readiness,False,0.0
grb_sens_0064,low_d4,3,4,3,3.0,3.0,3.0,4.0,3.0,3.0,3.167,79.17,79.17,Advanced readiness,False,0.0
grb_sens_0065,low_d4,3,0,3,3.0,3.0,3.0,0.0,3.0,3.0,2.5,62.5,60.0,Substantially ready,True,2.5
grb_sens_0066,low_d4,3,1,3,3.0,3.0,3.0,1.0,3.0,3.0,2.667,66.67,60.0,Substantially ready,True,6.67
grb_sens_0067,low_d4,3,2,3,3.0,3.0,3.0,2.0,3.0,3.0,2.833,70.83,70.83,Substantially ready,False,0.0
grb_sens_0068,low_d4,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75.0,75.0,Advanced readiness,False,0.0
grb_sens_0069,low_d4,3,4,3,3.0,3.0,3.0,4.0,3.0,3.0,3.167,79.17,79.17,Advanced readiness,False,0.0
grb_sens_0070,high_d6,3,3,0,3.0,3.0,3.0,3.0,3.0,0.0,2.5,62.5,62.5,Substantially ready,False,0.0
grb_sens_0071,high_d6,3,3,1,3.0,3.0,3.0,3.0,3.0,1.0,2.667,66.67,66.67,Substantially ready,False,0.0
grb_sens_0072,high_d6,3,3,2,3.0,3.0,3.0,3.0,3.0,2.0,2.833,70.83,70.83,Substantially ready,False,0.0
grb_sens_0073,high_d6,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75.0,75.0,Advanced readiness,False,0.0
grb_sens_0074,high_d6,3,3,4,3.0,3.0,3.0,3.0,3.0,4.0,3.167,79.17,79.17,Advanced readiness,False,0.0
grb_sens_0075,high_d6,3,3,0,3.0,3.0,3.0,3.0,3.0,0.0,2.5,62.5,62.5,Substantially ready,False,0.0
grb_sens_0076,high_d6,3,3,1,3.0,3.0,3.0,3.0,3.0,1.0,2.667,66.67,66.67,Substantially ready,False,0.0
grb_sens_0077,high_d6,3,3,2,3.0,3.0,3.0,3.0,3.0,2.0,2.833,70.83,70.83,Substantially ready,False,0.0
grb_sens_0078,high_d6,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75.0,75.0,Advanced readiness,False,0.0
grb_sens_0079,high_d6,3,3,4,3.0,3.0,3.0,3.0,3.0,4.0,3.167,79.17,79.17,Advanced readiness,False,0.0
grb_sens_0080,high_d6,3,3,0,3.0,3.0,3.0,3.0,3.0,0.0,2.5,62.5,62.5,Substantially ready,False,0.0
grb_sens_0081,high_d6,3,3,1,3.0,3.0,3.0,3.0,3.0,1.0,2.667,66.67,66.67,Substantially ready,False,0.0
grb_sens_0082,high_d6,3,3,2,3.0,3.0,3.0,3.0,3.0,2.0,2.833,70.83,70.83,Substantially ready,False,0.0
grb_sens_0083,high_d6,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75.0,75.0,Advanced readiness,False,0.0
grb_sens_0084,high_d6,3,3,4,3.0,3.0,3.0,3.0,3.0,4.0,3.167,79.17,79.17,Advanced readiness,False,0.0
grb_sens_0085,high_d6,3,3,0,3.0,3.0,3.0,3.0,3.0,0.0,2.5,62.5,62.5,Substantially ready,False,0.0
grb_sens_0086,high_d6,3,3,1,3.0,3.0,3.0,3.0,3.0,1.0,2.667,66.67,66.67,Substantially ready,False,0.0
grb_sens_0087,high_d6,3,3,2,3.0,3.0,3.0,3.0,3.0,2.0,2.833,70.83,70.83,Substantially ready,False,0.0
grb_sens_0088,high_d6,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75.0,75.0,Advanced readiness,False,0.0
grb_sens_0089,high_d6,3,3,4,3.0,3.0,3.0,3.0,3.0,4.0,3.167,79.17,79.17,Advanced readiness,False,0.0
grb_sens_0090,high_d6,3,3,0,3.0,3.0,3.0,3.0,3.0,0.0,2.5,62.5,62.5,Substantially ready,False,0.0
grb_sens_0091,high_d6,3,3,1,3.0,3.0,3.0,3.0,3.0,1.0,2.667,66.67,66.67,Substantially ready,False,0.0
grb_sens_0092,high_d6,3,3,2,3.0,3.0,3.0,3.0,3.0,2.0,2.833,70.83,70.83,Substantially ready,False,0.0
grb_sens_0093,high_d6,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75.0,75.0,Advanced readiness,False,0.0
grb_sens_0094,high_d6,3,3,4,3.0,3.0,3.0,3.0,3.0,4.0,3.167,79.17,79.17,Advanced readiness,False,0.0
grb_sens_0095,high_d6,3,3,0,3.0,3.0,3.0,3.0,3.0,0.0,2.5,62.5,62.5,Substantially ready,False,0.0
grb_sens_0096,high_d6,3,3,1,3.0,3.0,3.0,3.0,3.0,1.0,2.667,66.67,66.67,Substantially ready,False,0.0
grb_sens_0097,high_d6,3,3,2,3.0,3.0,3.0,3.0,3.0,2.0,2.833,70.83,70.83,Substantially ready,False,0.0
grb_sens_0098,high_d6,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75.0,75.0,Advanced readiness,False,0.0
grb_sens_0099,high_d6,3,3,4,3.0,3.0,3.0,3.0,3.0,4.0,3.167,79.17,79.17,Advanced readiness,False,0.0
grb_sens_0100,mixed,1,2,3,3.0,1.0,3.0,2.0,3.0,3.0,2.5,62.5,60.0,Substantially ready,True,2.5
grb_sens_0101,mixed,4,4,4,3.0,4.0,3.0,4.0,3.0,4.0,3.5,87.5,87.5,Advanced readiness,False,0.0
grb_sens_0102,mixed,2,1,0,3.0,2.0,3.0,1.0,3.0,0.0,2.0,50.0,50.0,Substantially ready,False,0.0
grb_sens_0103,mixed,0,3,1,3.0,0.0,3.0,3.0,3.0,1.0,2.167,54.17,54.17,Substantially ready,False,0.0
grb_sens_0104,mixed,3,0,2,3.0,3.0,3.0,0.0,3.0,2.0,2.333,58.33,58.33,Substantially ready,False,0.0
grb_sens_0105,mixed,1,2,3,3.0,1.0,3.0,2.0,3.0,3.0,2.5,62.5,60.0,Substantially ready,True,2.5
grb_sens_0106,mixed,4,4,4,3.0,4.0,3.0,4.0,3.0,4.0,3.5,87.5,87.5,Advanced readiness,False,0.0
grb_sens_0107,mixed,2,1,0,3.0,2.0,3.0,1.0,3.0,0.0,2.0,50.0,50.0,Substantially ready,False,0.0
grb_sens_0108,mixed,0,3,1,3.0,0.0,3.0,3.0,3.0,1.0,2.167,54.17,54.17,Substantially ready,False,0.0
grb_sens_0109,mixed,3,0,2,3.0,3.0,3.0,0.0,3.0,2.0,2.333,58.33,58.33,Substantially ready,False,0.0
grb_sens_0110,mixed,1,2,3,3.0,1.0,3.0,2.0,3.0,3.0,2.5,62.5,60.0,Substantially ready,True,2.5
grb_sens_0111,mixed,4,4,4,3.0,4.0,3.0,4.0,3.0,4.0,3.5,87.5,87.5,Advanced readiness,False,0.0
grb_sens_0112,mixed,2,1,0,3.0,2.0,3.0,1.0,3.0,0.0,2.0,50.0,50.0,Substantially ready,False,0.0
grb_sens_0113,mixed,0,3,1,3.0,0.0,3.0,3.0,3.0,1.0,2.167,54.17,54.17,Substantially ready,False,0.0
grb_sens_0114,mixed,3,0,2,3.0,3.0,3.0,0.0,3.0,2.0,2.333,58.33,58.33,Substantially ready,False,0.0
grb_sens_0115,mixed,1,2,3,3.0,1.0,3.0,2.0,3.0,3.0,2.5,62.5,60.0,Substantially ready,True,2.5
grb_sens_0116,mixed,4,4,4,3.0,4.0,3.0,4.0,3.0,4.0,3.5,87.5,87.5,Advanced readiness,False,0.0
grb_sens_0117,mixed,2,1,0,3.0,2.0,3.0,1.0,3.0,0.0,2.0,50.0,50.0,Substantially ready,False,0.0
grb_sens_0118,mixed,0,3,1,3.0,0.0,3.0,3.0,3.0,1.0,2.167,54.17,54.17,Substantially ready,False,0.0
grb_sens_0119,mixed,3,0,2,3.0,3.0,3.0,0.0,3.0,2.0,2.333,58.33,58.33,Substantially ready,False,0.0
grb_sens_0120,mixed,1,2,3,3.0,1.0,3.0,2.0,3.0,3.0,2.5,62.5,60.0,Substantially ready,True,2.5
grb_sens_0121,mixed,4,4,4,3.0,4.0,3.0,4.0,3.0,4.0,3.5,87.5,87.5,Advanced readiness,False,0.0
grb_sens_0122,mixed,2,1,0,3.0,2.0,3.0,1.0,3.0,0.0,2.0,50.0,50.0,Substantially ready,False,0.0
grb_sens_0123,mixed,0,3,1,3.0,0.0,3.0,3.0,3.0,1.0,2.167,54.17,54.17,Substantially ready,False,0.0
grb_sens_0124,mixed,3,0,2,3.0,3.0,3.0,0.0,3.0,2.0,2.333,58.33,58.33,Substantially ready,False,0.0
grb_sens_0125,mixed,1,2,3,3.0,1.0,3.0,2.0,3.0,3.0,2.5,62.5,60.0,Substantially ready,True,2.5
grb_sens_0126,mixed,4,4,4,3.0,4.0,3.0,4.0,3.0,4.0,3.5,87.5,87.5,Advanced readiness,False,0.0
grb_sens_0127,mixed,2,1,0,3.0,2.0,3.0,1.0,3.0,0.0,2.0,50.0,50.0,Substantially ready,False,0.0
grb_sens_0128,mixed,0,3,1,3.0,0.0,3.0,3.0,3.0,1.0,2.167,54.17,54.17,Substantially ready,False,0.0
grb_sens_0129,mixed,3,0,2,3.0,3.0,3.0,0.0,3.0,2.0,2.333,58.33,58.33,Substantially ready,False,0.0
grb_sens_0130,mixed,1,2,3,3.0,1.0,3.0,2.0,3.0,3.0,2.5,62.5,60.0,Substantially ready,True,2.5
grb_sens_0131,mixed,4,4,4,3.0,4.0,3.0,4.0,3.0,4.0,3.5,87.5,87.5,Advanced readiness,False,0.0
grb_sens_0132,mixed,2,1,0,3.0,2.0,3.0,1.0,3.0,0.0,2.0,50.0,50.0,Substantially ready,False,0.0
grb_sens_0133,mixed,0,3,1,3.0,0.0,3.0,3.0,3.0,1.0,2.167,54.17,54.17,Substantially ready,False,0.0
grb_sens_0134,mixed,3,0,2,3.0,3.0,3.0,0.0,3.0,2.0,2.333,58.33,58.33,Substantially ready,False,0.0
grb_sens_0135,mixed,1,2,3,3.0,1.0,3.0,2.0,3.0,3.0,2.5,62.5,60.0,Substantially ready,True,2.5
grb_sens_0136,mixed,4,4,4,3.0,4.0,3.0,4.0,3.0,4.0,3.5,87.5,87.5,Advanced readiness,False,0.0
grb_sens_0137,mixed,2,1,0,3.0,2.0,3.0,1.0,3.0,0.0,2.0,50.0,50.0,Substantially ready,False,0.0
grb_sens_0138,mixed,0,3,1,3.0,0.0,3.0,3.0,3.0,1.0,2.167,54.17,54.17,Substantially ready,False,0.0
grb_sens_0139,mixed,3,0,2,3.0,3.0,3.0,0.0,3.0,2.0,2.333,58.33,58.33,Substantially ready,False,0.0
grb_sens_0140,mixed,1,2,3,3.0,1.0,3.0,2.0,3.0,3.0,2.5,62.5,60.0,Substantially ready,True,2.5
grb_sens_0141,mixed,4,4,4,3.0,4.0,3.0,4.0,3.0,4.0,3.5,87.5,87.5,Advanced readiness,False,0.0
grb_sens_0142,mixed,2,1,0,3.0,2.0,3.0,1.0,3.0,0.0,2.0,50.0,50.0,Substantially ready,False,0.0
grb_sens_0143,mixed,0,3,1,3.0,0.0,3.0,3.0,3.0,1.0,2.167,54.17,54.17,Substantially ready,False,0.0
grb_sens_0144,mixed,3,0,2,3.0,3.0,3.0,0.0,3.0,2.0,2.333,58.33,58.33,Substantially ready,False,0.0
grb_sens_0145,mixed,1,2,3,3.0,1.0,3.0,2.0,3.0,3.0,2.5,62.5,60.0,Substantially ready,True,2.5
grb_sens_0146,mixed,4,4,4,3.0,4.0,3.0,4.0,3.0,4.0,3.5,87.5,87.5,Advanced readiness,False,0.0
grb_sens_0147,mixed,2,1,0,3.0,2.0,3.0,1.0,3.0,0.0,2.0,50.0,50.0,Substantially ready,False,0.0
grb_sens_0148,mixed,0,3,1,3.0,0.0,3.0,3.0,3.0,1.0,2.167,54.17,54.17,Substantially ready,False,0.0
grb_sens_0149,mixed,3,0,2,3.0,3.0,3.0,0.0,3.0,2.0,2.333,58.33,58.33,Substantially ready,False,0.0
