profile_id,scenario,d2_input_level,d4_input_level,d6_input_level,d1_score,d2_score,d3_score,d4_score,d5_score,d6_score,overall_maturity,readiness_raw,readiness_final,readiness_band,safeguard_applied
sens_039,d4_sweep,3,0,3,3.0,3.0,3.0,0.0,3.0,3.0,2.5,62.5,60.0,Substantially ready,True
sens_040,d4_sweep,3,1,3,3.0,3.0,3.0,1.0,3.0,3.0,2.667,66.67,60.0,Substantially ready,True
sens_041,d4_sweep,3,2,3,3.0,3.0,3.0,2.0,3.0,3.0,2.833,70.83,70.83,Substantially ready,False
sens_042,d4_sweep,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75.0,75.0,Advanced readiness,False
sens_043,d4_sweep,3,4,3,3.0,3.0,3.0,4.0,3.0,3.0,3.167,79.17,79.17,Advanced readiness,False
sens_044,d4_sweep,3,0,3,3.0,3.0,3.0,0.0,3.0,3.0,2.5,62.5,60.0,Substantially ready,True
sens_045,d4_sweep,3,1,3,3.0,3.0,3.0,1.0,3.0,3.0,2.667,66.67,60.0,Substantially ready,True
sens_046,d4_sweep,3,2,3,3.0,3.0,3.0,2.0,3.0,3.0,2.833,70.83,70.83,Substantially ready,False
sens_047,d4_sweep,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75.0,75.0,Advanced readiness,False
sens_048,d4_sweep,3,4,3,3.0,3.0,3.0,4.0,3.0,3.0,3.167,79.17,79.17,Advanced readiness,False
sens_049,d4_sweep,3,0,3,3.0,3.0,3.0,0.0,3.0,3.0,2.5,62.5,60.0,Substantially ready,True
sens_050,d4_sweep,3,1,3,3.0,3.0,3.0,1.0,3.0,3.0,2.667,66.67,60.0,Substantially ready,True
sens_051,d4_sweep,3,2,3,3.0,3.0,3.0,2.0,3.0,3.0,2.833,70.83,70.83,Substantially ready,False
sens_052,d4_sweep,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75.0,75.0,Advanced readiness,False
sens_053,d4_sweep,3,4,3,3.0,3.0,3.0,4.0,3.0,3.0,3.167,79.17,79.17,Advanced readiness,False
sens_054,d4_sweep,3,0,3,3.0,3.0,3.0,0.0,3.0,3.0,2.5,62.5,60.0,Substantially ready,True
sens_055,d4_sweep,3,1,3,3.0,3.0,3.0,1.0,3.0,3.0,2.667,66.67,60.0,Substantially ready,True
sens_056,d4_sweep,3,2,3,3.0,3.0,3.0,2.0,3.0,3.0,2.833,70.83,70.83,Substantially ready,False
sens_057,d4_sweep,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75.0,75.0,Advanced readiness,False
sens_058,d4_sweep,3,4,3,3.0,3.0,3.0,4.0,3.0,3.0,3.167,79.17,79.17,Advanced readiness,False
sens_059,d4_sweep,3,0,3,3.0,3.0,3.0,0.0,3.0,3.0,2.5,62.5,60.0,Substantially ready,True
sens_060,d4_sweep,3,1,3,3.0,3.0,3.0,1.0,3.0,3.0,2.667,66.67,60.0,Substantially ready,True
sens_061,d4_sweep,3,2,3,3.0,3.0,3.0,2.0,3.0,3.0,2.833,70.83,70.83,Substantially ready,False
sens_062,d4_sweep,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75.0,75.0,Advanced readiness,False
sens_063,d4_sweep,3,4,3,3.0,3.0,3.0,4.0,3.0,3.0,3.167,79.17,79.17,Advanced readiness,False
sens_064,d4_sweep,3,0,3,3.0,3.0,3.0,0.0,3.0,3.0,2.5,62.5,60.0,Substantially ready,True
sens_065,d4_sweep,3,1,3,3.0,3.0,3.0,1.0,3.0,3.0,2.667,66.67,60.0,Substantially ready,True
sens_066,d4_sweep,3,2,3,3.0,3.0,3.0,2.0,3.0,3.0,2.833,70.83,70.83,Substantially ready,False
sens_067,d6_sweep,3,3,0,3.0,3.0,3.0,3.0,3.0,0.0,2.5,62.5,62.5,Substantially ready,False
sens_068,d6_sweep,3,3,1,3.0,3.0,3.0,3.0,3.0,1.0,2.667,66.67,66.67,Substantially ready,False
sens_069,d6_sweep,3,3,2,3.0,3.0,3.0,3.0,3.0,2.0,2.833,70.83,70.83,Substantially ready,False
sens_070,d6_sweep,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75.0,75.0,Advanced readiness,False
sens_071,d6_sweep,3,3,4,3.0,3.0,3.0,3.0,3.0,4.0,3.167,79.17,79.17,Advanced readiness,False
sens_072,d6_sweep,3,3,0,3.0,3.0,3.0,3.0,3.0,0.0,2.5,62.5,62.5,Substantially ready,False
sens_073,d6_sweep,3,3,1,3.0,3.0,3.0,3.0,3.0,1.0,2.667,66.67,66.67,Substantially ready,False
sens_074,d6_sweep,3,3,2,3.0,3.0,3.0,3.0,3.0,2.0,2.833,70.83,70.83,Substantially ready,False
sens_075,d6_sweep,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75.0,75.0,Advanced readiness,False
sens_076,d6_sweep,3,3,4,3.0,3.0,3.0,3.0,3.0,4.0,3.167,79.17,79.17,Advanced readiness,False
sens_077,d6_sweep,3,3,0,3.0,3.0,3.0,3.0,3.0,0.0,2.5,62.5,62.5,Substantially ready,False
sens_078,d6_sweep,3,3,1,3.0,3.0,3.0,3.0,3.0,1.0,2.667,66.67,66.67,Substantially ready,False
sens_079,d6_sweep,3,3,2,3.0,3.0,3.0,3.0,3.0,2.0,2.833,70.83,70.83,Substantially ready,False
sens_080,d6_sweep,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75.0,75.0,Advanced readiness,False
sens_081,d6_sweep,3,3,4,3.0,3.0,3.0,3.0,3.0,4.0,3.167,79.17,79.17,Advanced readiness,False
sens_082,d6_sweep,3,3,0,3.0,3.0,3.0,3.0,3.0,0.0,2.5,62.5,62.5,Substantially ready,False
sens_083,d6_sweep,3,3,1,3.0,3.0,3.0,3.0,3.0,1.0,2.667,66.67,66.67,Substantially ready,False
sens_084,d6_sweep,3,3,2,3.0,3.0,3.0,3.0,3.0,2.0,2.833,70.83,70.83,Substantially ready,False
sens_085,d6_sweep,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75.0,75.0,Advanced readiness,False
sens_086,d6_sweep,3,3,4,3.0,3.0,3.0,3.0,3.0,4.0,3.167,79.17,79.17,Advanced readiness,False
sens_087,d6_sweep,3,3,0,3.0,3.0,3.0,3.0,3.0,0.0,2.5,62.5,62.5,Substantially ready,False
sens_088,d6_sweep,3,3,1,3.0,3.0,3.0,3.0,3.0,1.0,2.667,66.67,66.67,Substantially ready,False
sens_089,d6_sweep,3,3,2,3.0,3.0,3.0,3.0,3.0,2.0,2.833,70.83,70.83,Substantially ready,False
sens_090,d6_sweep,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75.0,75.0,Advanced readiness,False
sens_091,d6_sweep,3,3,4,3.0,3.0,3.0,3.0,3.0,4.0,3.167,79.17,79.17,Advanced readiness,False
sens_092,d6_sweep,3,3,0,3.0,3.0,3.0,3.0,3.0,0.0,2.5,62.5,62.5,Substantially ready,False
sens_093,d6_sweep,3,3,1,3.0,3.0,3.0,3.0,3.0,1.0,2.667,66.67,66.67,Substantially ready,False
sens_094,d6_sweep,3,3,2,3.0,3.0,3.0,3.0,3.0,2.0,2.833,70.83,70.83,Substantially ready,False
sens_095,d6_sweep,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75.0,75.0,Advanced readiness,False
sens_096,d6_sweep,3,3,4,3.0,3.0,3.0,3.0,3.0,4.0,3.167,79.17,79.17,Advanced readiness,False
sens_097,d6_sweep,3,3,0,3.0,3.0,3.0,3.0,3.0,0.0,2.5,62.5,62.5,Substantially ready,False
sens_098,d6_sweep,3,3,1,3.0,3.0,3.0,3.0,3.0,1.0,2.667,66.67,66.67,Substantially ready,False
sens_099,d6_sweep,3,3,2,3.0,3.0,3.0,3.0,3.0,2.0,2.833,70.83,70.83,Substantially ready,False
