record_type,profile_id,distribution,d1_score,d2_score,d3_score,d4_score,d5_score,d6_score,overall_maturity,readiness_raw,readiness_final,readiness_band,safeguard_applied,readiness_delta_raw_final,metric,value,count,fraction
profile,grb_mc_00015,uniform,1.667,2.556,2.667,2.778,2.111,2.778,2.426,60.65,60.65,Substantially ready,False,0.0,,,,
profile,grb_mc_00016,uniform,1.333,1.778,2.111,1.667,2.333,2.556,1.963,49.08,49.08,Advanced readiness,False,0.0,,,,
profile,grb_mc_00017,uniform,2.889,1.667,2.778,3.0,2.222,1.778,2.389,59.72,59.72,Substantially ready,False,0.0,,,,
profile,grb_mc_00018,uniform,2.0,2.333,1.889,1.667,2.0,1.778,1.944,48.6,48.6,Emerging,False,0.0,,,,
profile,grb_mc_00019,uniform,0.889,1.667,2.222,2.111,1.778,2.444,1.852,46.3,46.3,Emerging,False,0.0,,,,
profile,grb_mc_00020,uniform,1.556,1.889,2.111,2.111,3.111,1.556,2.056,51.4,51.4,Substantially ready,False,0.0,,,,
profile,grb_mc_00021,uniform,1.889,1.444,1.889,1.444,1.111,2.444,1.704,42.6,42.6,Emerging,False,0.0,,,,
profile,grb_mc_00022,uniform,1.889,2.111,1.556,2.0,2.778,1.444,1.963,49.08,49.08,Advanced readiness,False,0.0,,,,
profile,grb_mc_00023,uniform,2.222,2.556,1.222,1.444,2.222,2.0,1.944,48.6,48.6,Emerging,False,0.0,,,,
profile,grb_mc_00024,uniform,2.889,1.778,1.778,1.778,2.0,2.556,2.13,53.25,53.25,Substantially ready,False,0.0,,,,
profile,grb_mc_00025,uniform,2.556,2.111,1.444,2.222,1.889,1.556,1.963,49.08,49.08,Advanced readiness,False,0.0,,,,
profile,grb_mc_00026,uniform,1.444,1.889,2.222,2.222,2.222,1.556,1.926,48.15,48.15,Emerging,False,0.0,,,,
profile,grb_mc_00027,uniform,1.889,2.889,1.889,2.111,2.556,1.778,2.185,54.62,54.62,Substantially ready,False,0.0,,,,
profile,grb_mc_00028,uniform,2.222,1.778,2.111,2.444,1.778,2.222,2.092,52.3,52.3,Substantially ready,False,0.0,,,,
profile,grb_mc_00029,uniform,2.444,2.222,2.0,1.556,2.444,2.556,2.204,55.1,55.1,Substantially ready,False,0.0,,,,
profile,grb_mc_00030,uniform,1.667,2.333,1.222,1.889,1.667,3.0,1.963,49.08,49.08,Advanced readiness,False,0.0,,,,
profile,grb_mc_00031,uniform,1.444,2.556,1.333,2.111,2.556,2.556,2.093,52.33,52.33,Substantially ready,False,0.0,,,,
profile,grb_mc_00032,uniform,2.111,1.889,1.222,2.333,1.667,2.333,1.926,48.15,48.15,Emerging,False,0.0,,,,
profile,grb_mc_00033,uniform,2.111,2.111,1.667,2.667,2.556,3.0,2.352,58.8,58.8,Substantially ready,False,0.0,,,,
profile,grb_mc_00034,uniform,2.111,1.333,2.444,1.556,1.444,2.111,1.833,45.82,45.82,Emerging,False,0.0,,,,
profile,grb_mc_00035,uniform,1.889,1.778,1.111,1.778,2.0,2.667,1.87,46.75,46.75,Emerging,False,0.0,,,,
profile,grb_mc_00036,uniform,2.778,1.556,1.667,2.333,1.333,2.222,1.981,49.53,49.53,Advanced readiness,False,0.0,,,,
profile,grb_mc_00037,uniform,1.667,2.889,2.222,2.333,2.0,2.556,2.278,56.95,56.95,Substantially ready,False,0.0,,,,
profile,grb_mc_00038,uniform,2.333,1.778,1.889,2.111,2.222,2.444,2.13,53.25,53.25,Substantially ready,False,0.0,,,,
profile,grb_mc_00039,uniform,2.111,1.889,2.222,1.444,2.556,1.667,1.981,49.53,49.53,Advanced readiness,False,0.0,,,,
profile,grb_mc_00040,uniform,1.444,2.667,1.667,2.444,2.111,2.444,2.129,53.23,53.23,Substantially ready,False,0.0,,,,
profile,grb_mc_00041,uniform,1.222,1.0,1.556,1.333,1.222,2.556,1.481,37.03,37.03,Emerging,False,0.0,,,,
profile,grb_mc_00042,uniform,2.222,1.778,2.333,2.667,2.444,2.222,2.278,56.95,56.95,Substantially ready,False,0.0,,,,
profile,grb_mc_00043,uniform,2.222,1.889,1.444,1.667,2.111,1.556,1.815,45.38,45.38,Emerging,False,0.0,,,,
profile,grb_mc_00044,uniform,1.889,1.889,2.556,1.222,2.0,1.333,1.815,45.38,45.38,Emerging,False,0.0,,,,
profile,grb_mc_00045,uniform,2.0,1.556,2.333,2.333,2.333,1.111,1.944,48.6,48.6,Emerging,False,0.0,,,,
profile,grb_mc_00046,uniform,2.667,2.889,2.0,2.222,1.444,1.667,2.148,53.7,53.7,Substantially ready,False,0.0,,,,
profile,grb_mc_00047,uniform,2.111,1.889,1.556,1.889,1.667,1.889,1.834,45.85,45.85,Emerging,False,0.0,,,,
profile,grb_mc_00048,uniform,1.667,1.889,2.111,2.667,2.667,1.222,2.037,50.92,50.92,Substantially ready,False,0.0,,,,
profile,grb_mc_00049,uniform,1.667,2.556,2.0,2.0,1.778,1.556,1.926,48.15,48.15,Emerging,False,0.0,,,,
profile,grb_mc_00050,uniform,1.667,2.333,1.889,2.0,1.778,2.222,1.981,49.53,49.53,Advanced readiness,False,0.0,,,,
profile,grb_mc_00051,uniform,2.111,2.333,1.778,1.667,1.778,1.444,1.852,46.3,46.3,Emerging,False,0.0,,,,
profile,grb_mc_00052,uniform,1.889,1.556,2.444,2.111,1.333,1.444,1.796,44.9,44.9,Emerging,False,0.0,,,,
profile,grb_mc_00053,uniform,1.778,2.444,2.0,2.667,2.556,2.444,2.315,57.88,57.88,Substantially ready,False,0.0,,,,
profile,grb_mc_00054,uniform,1.444,2.111,2.778,2.111,1.889,3.0,2.222,55.55,55.55,Substantially ready,False,0.0,,,,
profile,grb_mc_00055,uniform,2.111,2.0,1.778,2.0,1.778,1.667,1.889,47.23,47.23,Emerging,False,0.0,,,,
profile,grb_mc_00056,uniform,1.444,1.778,1.0,1.667,1.667,2.889,1.741,43.53,43.53,Emerging,False,0.0,,,,
profile,grb_mc_00057,uniform,2.778,2.333,2.556,2.111,2.0,1.333,2.185,54.62,54.62,Substantially ready,False,0.0,,,,
profile,grb_mc_00058,uniform,2.556,1.667,2.333,2.111,2.556,1.778,2.167,54.17,54.17,Substantially ready,False,0.0,,,,
profile,grb_mc_00059,uniform,2.0,2.222,1.889,2.111,2.333,2.111,2.111,52.78,52.78,Substantially ready,False,0.0,,,,
profile,grb_mc_00060,uniform,2.889,2.222,2.222,2.222,1.444,2.444,2.24,56.0,56.0,Substantially ready,False,0.0,,,,
profile,grb_mc_00061,uniform,1.667,2.222,1.667,1.556,1.778,1.667,1.76,44.0,44.0,Emerging,False,0.0,,,,
profile,grb_mc_00062,uniform,2.667,1.444,2.222,1.889,1.556,0.889,1.778,44.45,44.45,Emerging,False,0.0,,,,
profile,grb_mc_00063,uniform,2.444,1.333,1.222,2.222,2.111,1.889,1.87,46.75,46.75,Emerging,False,0.0,,,,
profile,grb_mc_00064,uniform,2.222,1.556,2.222,2.111,2.444,2.111,2.111,52.78,52.78,Substantially ready,False,0.0,,,,
profile,grb_mc_00065,uniform,1.222,2.0,2.111,1.778,1.778,2.556,1.907,47.67,47.67,Emerging,False,0.0,,,,
profile,grb_mc_00066,uniform,2.333,2.111,2.778,2.556,2.556,1.778,2.352,58.8,58.8,Substantially ready,False,0.0,,,,
profile,grb_mc_00067,uniform,2.333,1.778,2.333,2.667,2.667,2.444,2.37,59.25,59.25,Substantially ready,False,0.0,,,,
profile,grb_mc_00068,uniform,1.111,1.667,1.333,1.333,2.889,2.556,1.815,45.38,45.38,Emerging,False,0.0,,,,
profile,grb_mc_00069,uniform,2.333,2.222,2.667,1.222,2.0,1.778,2.037,50.92,50.92,Substantially ready,False,0.0,,,,
profile,grb_mc_00070,uniform,1.889,2.667,1.778,1.889,2.667,1.333,2.037,50.92,50.92,Substantially ready,False,0.0,,,,
profile,grb_mc_00071,uniform,1.889,1.778,2.333,1.0,2.556,1.778,1.889,47.23,47.23,Emerging,False,0.0,,,,
profile,grb_mc_00072,uniform,2.444,1.889,1.667,2.222,2.556,1.222,2.0,50.0,50.0,Substantially ready,False,0.0,,,,
profile,grb_mc_00073,uniform,1.889,1.222,1.667,2.333,1.889,1.333,1.722,43.05,43.05,Emerging,False,0.0,,,,
profile,grb_mc_00074,uniform,1.889,2.222,1.889,2.222,1.333,2.333,1.981,49.53,49.53,Advanced readiness,False,0.0,,,,
profile,grb_mc_00075,uniform,2.111,1.889,1.444,1.778,2.444,1.111,1.796,44.9,44.9,Emerging,False,0.0,,,,
profile,grb_mc_00076,uniform,1.444,2.556,2.222,3.0,1.667,2.111,2.167,54.17,54.17,Substantially ready,False,0.0,,,,
profile,grb_mc_00077,uniform,2.556,1.667,2.222,3.111,1.778,1.778,2.185,54.62,54.62,Substantially ready,False,0.0,,,,
profile,grb_mc_00078,uniform,1.778,1.333,1.444,2.556,1.889,1.889,1.815,45.38,45.38,Emerging,False,0.0,,,,
profile,grb_mc_00079,uniform,2.222,2.0,1.111,2.111,1.444,1.556,1.741,43.53,43.53,Emerging,False,0.0,,,,
profile,grb_mc_00080,uniform,2.0,2.333,2.222,1.556,1.667,1.444,1.87,46.75,46.75,Emerging,False,0.0,,,,
profile,grb_mc_00081,uniform,2.778,1.667,1.111,2.333,2.333,1.889,2.018,50.45,50.45,Substantially ready,False,0.0,,,,
profile,grb_mc_00082,uniform,2.222,2.0,1.111,1.889,2.222,2.0,1.907,47.67,47.67,Emerging,False,0.0,,,,
profile,grb_mc_00083,uniform,1.889,1.0,1.889,1.667,2.222,1.889,1.759,43.97,43.97,Emerging,False,0.0,,,,
profile,grb_mc_00084,uniform,2.222,1.889,1.444,1.778,1.889,2.556,1.963,49.08,49.08,Advanced readiness,False,0.0,,,,
profile,grb_mc_00085,uniform,2.222,2.333,1.0,2.556,1.778,2.667,2.093,52.33,52.33,Substantially ready,False,0.0,,,,
profile,grb_mc_00086,uniform,1.111,1.111,1.111,1.778,1.556,2.0,1.444,36.1,36.1,Emerging,False,0.0,,,,
profile,grb_mc_00087,uniform,2.556,1.333,1.444,1.778,2.222,1.778,1.852,46.3,46.3,Emerging,False,0.0,,,,
profile,grb_mc_00088,uniform,1.556,2.667,2.111,1.667,2.444,2.556,2.167,54.17,54.17,Substantially ready,False,0.0,,,,
profile,grb_mc_00089,uniform,2.889,1.556,2.444,1.222,2.667,1.778,2.093,52.33,52.33,Substantially ready,False,0.0,,,,
profile,grb_mc_00090,uniform,2.556,1.556,2.111,1.889,2.444,1.667,2.037,50.92,50.92,Substantially ready,False,0.0,,,,
profile,grb_mc_00091,uniform,2.0,1.667,2.111,2.111,2.111,1.778,1.963,49.08,49.08,Advanced readiness,False,0.0,,,,
profile,grb_mc_00092,uniform,1.444,1.889,2.667,2.0,1.667,2.222,1.981,49.53,49.53,Advanced readiness,False,0.0,,,,
profile,grb_mc_00093,uniform,1.667,2.0,2.667,2.111,2.333,2.0,2.13,53.25,53.25,Substantially ready,False,0.0,,,,
profile,grb_mc_00094,uniform,2.0,2.222,2.333,1.889,1.333,1.0,1.796,44.9,44.9,Emerging,False,0.0,,,,
profile,grb_mc_00095,uniform,1.444,1.778,2.778,2.333,2.889,1.444,2.111,52.78,52.78,Substantially ready,False,0.0,,,,
profile,grb_mc_00096,uniform,2.222,2.444,2.111,2.111,2.333,1.222,2.074,51.85,51.85,Substantially ready,False,0.0,,,,
profile,grb_mc_00097,uniform,2.222,1.556,2.0,2.333,1.556,2.0,1.944,48.6,48.6,Emerging,False,0.0,,,,
profile,grb_mc_00098,uniform,1.889,2.0,2.444,1.889,2.333,2.0,2.092,52.3,52.3,Substantially ready,False,0.0,,,,
profile,grb_mc_00099,uniform,1.778,1.333,1.778,2.333,1.556,2.444,1.87,46.75,46.75,Emerging,False,0.0,,,,
profile,grb_mc_00100,uniform,2.778,1.778,1.444,1.667,2.556,2.889,2.185,54.62,54.62,Substantially ready,False,0.0,,,,
profile,grb_mc_00101,uniform,1.667,2.0,1.778,2.333,2.889,2.444,2.185,54.62,54.62,Substantially ready,False,0.0,,,,
profile,grb_mc_00102,uniform,2.222,1.667,1.444,2.0,2.0,1.778,1.852,46.3,46.3,Emerging,False,0.0,,,,
profile,grb_mc_00103,uniform,1.333,2.667,2.111,1.889,1.667,2.667,2.056,51.4,51.4,Substantially ready,False,0.0,,,,
profile,grb_mc_00104,uniform,1.778,1.444,2.111,1.889,2.111,1.778,1.852,46.3,46.3,Emerging,False,0.0,,,,
profile,grb_mc_00105,uniform,1.778,2.0,2.111,2.778,2.0,1.778,2.074,51.85,51.85,Substantially ready,False,0.0,,,,
profile,grb_mc_00106,uniform,1.889,2.0,2.444,2.222,2.111,1.667,2.055,51.38,51.38,Substantially ready,False,0.0,,,,
profile,grb_mc_00107,uniform,2.0,1.444,2.667,2.111,2.111,2.222,2.092,52.3,52.3,Substantially ready,False,0.0,,,,
profile,grb_mc_00108,uniform,1.889,1.778,2.444,0.667,1.444,1.889,1.685,42.12,42.12,Emerging,False,0.0,,,,
profile,grb_mc_00109,uniform,2.667,1.667,2.0,1.667,2.111,2.778,2.148,53.7,53.7,Substantially ready,False,0.0,,,,
profile,grb_mc_00110,uniform,2.222,1.778,1.778,2.444,1.778,2.222,2.037,50.92,50.92,Substantially ready,False,0.0,,,,
profile,grb_mc_00111,uniform,1.444,1.889,2.667,1.222,2.222,2.444,1.981,49.53,49.53,Advanced readiness,False,0.0,,,,
profile,grb_mc_00112,uniform,2.0,1.444,1.0,2.222,1.889,1.556,1.685,42.12,42.12,Emerging,False,0.0,,,,
profile,grb_mc_00113,uniform,1.778,1.111,1.667,2.0,1.444,2.333,1.722,43.05,43.05,Emerging,False,0.0,,,,
profile,grb_mc_00114,uniform,2.222,1.778,1.444,1.778,2.111,1.778,1.852,46.3,46.3,Emerging,False,0.0,,,,
profile,grb_mc_00115,uniform,2.111,2.333,1.889,1.444,1.667,2.444,1.981,49.53,49.53,Advanced readiness,False,0.0,,,,
profile,grb_mc_00116,uniform,1.778,2.444,1.667,2.111,2.0,2.778,2.13,53.25,53.25,Substantially ready,False,0.0,,,,
profile,grb_mc_00117,uniform,1.444,2.222,1.556,2.0,2.333,2.222,1.963,49.08,49.08,Advanced readiness,False,0.0,,,,
profile,grb_mc_00118,uniform,2.333,1.556,2.556,2.889,2.556,2.111,2.334,58.35,58.35,Substantially ready,False,0.0,,,,
profile,grb_mc_00119,uniform,2.889,3.0,2.889,1.667,2.556,2.111,2.519,62.98,60.0,Substantially ready,True,2.98,,,,
profile,grb_mc_00120,uniform,3.0,1.778,2.111,2.222,1.889,1.889,2.148,53.7,53.7,Substantially ready,False,0.0,,,,
profile,grb_mc_00121,uniform,1.778,2.444,2.333,1.222,2.667,2.0,2.074,51.85,51.85,Substantially ready,False,0.0,,,,
profile,grb_mc_00122,uniform,1.778,2.111,2.111,2.111,2.556,2.667,2.222,55.55,55.55,Substantially ready,False,0.0,,,,
profile,grb_mc_00123,uniform,1.333,1.889,2.0,2.667,2.0,1.778,1.944,48.6,48.6,Emerging,False,0.0,,,,
profile,grb_mc_00124,uniform,1.222,1.222,1.444,2.333,1.667,2.667,1.759,43.97,43.97,Emerging,False,0.0,,,,
profile,grb_mc_00125,uniform,1.444,1.778,2.0,2.556,2.333,2.0,2.018,50.45,50.45,Substantially ready,False,0.0,,,,
profile,grb_mc_00126,uniform,1.333,2.556,3.0,1.556,1.444,1.444,1.889,47.23,47.23,Emerging,False,0.0,,,,
profile,grb_mc_00127,uniform,2.222,2.0,2.111,2.222,1.556,2.333,2.074,51.85,51.85,Substantially ready,False,0.0,,,,
profile,grb_mc_00128,uniform,1.444,2.444,2.0,2.333,1.889,1.667,1.963,49.08,49.08,Advanced readiness,False,0.0,,,,
profile,grb_mc_00129,uniform,1.778,1.556,2.889,2.111,2.0,1.667,2.0,50.0,50.0,Substantially ready,False,0.0,,,,
profile,grb_mc_00130,uniform,2.111,2.444,1.444,2.222,2.222,2.556,2.167,54.17,54.17,Substantially ready,False,0.0,,,,
profile,grb_mc_00131,uniform,2.333,2.556,1.667,1.889,2.333,0.444,1.87,46.75,46.75,Emerging,False,0.0,,,,
profile,grb_mc_00132,uniform,1.111,1.889,1.556,1.889,2.667,2.111,1.871,46.77,46.77,Emerging,False,0.0,,,,
profile,grb_mc_00133,uniform,2.0,1.333,2.222,1.889,2.556,2.222,2.037,50.92,50.92,Substantially ready,False,0.0,,,,
profile,grb_mc_00134,uniform,1.778,1.778,2.222,1.556,2.111,2.444,1.981,49.53,49.53,Advanced readiness,False,0.0,,,,
profile,grb_mc_00135,uniform,2.333,1.111,1.444,1.444,2.444,1.333,1.685,42.12,42.12,Emerging,False,0.0,,,,
profile,grb_mc_00136,uniform,1.556,2.333,1.222,1.889,2.111,1.889,1.833,45.82,45.82,Emerging,False,0.0,,,,
profile,grb_mc_00137,uniform,2.333,2.111,1.556,1.111,1.111,1.889,1.685,42.12,42.12,Emerging,False,0.0,,,,
profile,grb_mc_00138,uniform,2.333,2.556,1.556,2.667,1.889,2.111,2.185,54.62,54.62,Substantially ready,False,0.0,,,,
profile,grb_mc_00139,uniform,1.778,1.556,1.778,2.222,1.222,2.889,1.907,47.67,47.67,Emerging,False,0.0,,,,
profile,grb_mc_00140,uniform,2.111,2.222,1.778,2.222,2.111,2.444,2.148,53.7,53.7,Substantially ready,False,0.0,,,,
profile,grb_mc_00141,uniform,1.111,1.556,1.333,2.111,1.444,2.889,1.741,43.53,43.53,Emerging,False,0.0,,,,
profile,grb_mc_00142,uniform,2.333,2.333,2.444,1.667,1.889,1.889,2.092,52.3,52.3,Substantially ready,False,0.0,,,,
profile,grb_mc_00143,uniform,1.333,1.333,2.556,2.0,1.778,1.333,1.722,43.05,43.05,Emerging,False,0.0,,,,
profile,grb_mc_00144,uniform,1.333,1.556,3.111,2.444,2.333,1.444,2.037,50.92,50.92,Substantially ready,False,0.0,,,,
profile,grb_mc_00145,uniform,2.333,2.0,2.333,1.111,1.889,1.778,1.907,47.67,47.67,Emerging,False,0.0,,,,
profile,grb_mc_00146,uniform,2.0,2.333,0.889,2.778,1.778,2.667,2.074,51.85,51.85,Substantially ready,False,0.0,,,,
profile,grb_mc_00147,uniform,2.444,2.556,2.222,2.222,2.0,1.667,2.185,54.62,54.62,Substantially ready,False,0.0,,,,
profile,grb_mc_00148,uniform,1.556,2.111,1.444,2.444,2.667,1.556,1.963,49.08,49.08,Advanced readiness,False,0.0,,,,
profile,grb_mc_00149,uniform,2.667,2.111,2.333,2.222,2.111,1.667,2.185,54.62,54.62,Substantially ready,False,0.0,,,,
profile,grb_mc_00150,uniform,2.444,2.111,2.556,1.667,2.333,1.889,2.167,54.17,54.17,Substantially ready,False,0.0,,,,
profile,grb_mc_00151,uniform,2.222,2.556,2.556,2.333,2.667,2.0,2.389,59.72,59.72,Substantially ready,False,0.0,,,,
profile,grb_mc_00152,uniform,1.556,2.444,2.333,2.333,2.667,1.444,2.13,53.25,53.25,Substantially ready,False,0.0,,,,
profile,grb_mc_00153,uniform,2.0,1.667,2.556,1.444,1.889,2.333,1.981,49.53,49.53,Advanced readiness,False,0.0,,,,
profile,grb_mc_00154,uniform,2.0,1.889,1.556,2.222,1.556,1.444,1.778,44.45,44.45,Emerging,False,0.0,,,,
profile,grb_mc_00155,uniform,1.556,2.667,2.556,1.0,2.556,2.889,2.204,55.1,55.1,Substantially ready,False,0.0,,,,
profile,grb_mc_00156,uniform,1.444,2.778,3.111,3.111,2.444,1.444,2.389,59.72,59.72,Substantially ready,False,0.0,,,,
profile,grb_mc_00157,uniform,2.222,1.444,1.0,1.556,1.556,1.444,1.537,38.42,38.42,Emerging,False,0.0,,,,
profile,grb_mc_00158,uniform,2.333,1.556,2.222,2.222,2.333,1.556,2.037,50.92,50.92,Substantially ready,False,0.0,,,,
profile,grb_mc_00159,uniform,1.778,1.0,1.444,1.889,2.0,2.222,1.722,43.05,43.05,Emerging,False,0.0,,,,
profile,grb_mc_00160,uniform,2.111,2.778,1.778,2.333,1.889,1.111,2.0,50.0,50.0,Substantially ready,False,0.0,,,,
profile,grb_mc_00161,uniform,2.444,1.667,2.333,2.556,2.222,1.444,2.111,52.78,52.78,Substantially ready,False,0.0,,,,
profile,grb_mc_00162,uniform,1.333,2.333,1.333,2.111,1.444,1.667,1.704,42.6,42.6,Emerging,False,0.0,,,,
profile,grb_mc_00163,uniform,2.111,1.778,2.0,2.556,1.889,1.444,1.963,49.08,49.08,Advanced readiness,False,0.0,,,,
profile,grb_mc_00164,uniform,2.333,2.222,2.333,2.444,1.889,2.222,2.24,56.0,56.0,Substantially ready,False,0.0,,,,
profile,grb_mc_00165,uniform,1.667,1.667,2.889,2.0,2.222,1.889,2.056,51.4,51.4,Substantially ready,False,0.0,,,,
profile,grb_mc_00166,uniform,1.667,1.778,1.889,1.667,2.222,2.889,2.019,50.48,50.48,Substantially ready,False,0.0,,,,
profile,grb_mc_00167,uniform,2.222,1.889,1.667,1.667,1.778,2.556,1.963,49.08,49.08,Advanced readiness,False,0.0,,,,
profile,grb_mc_00168,uniform,2.111,1.667,2.222,1.556,1.889,1.889,1.889,47.23,47.23,Emerging,False,0.0,,,,
profile,grb_mc_00169,uniform,2.444,1.667,1.889,1.889,2.222,1.667,1.963,49.08,49.08,Advanced readiness,False,0.0,,,,
profile,grb_mc_00170,uniform,2.556,1.667,1.889,3.0,1.778,1.778,2.111,52.78,52.78,Substantially ready,False,0.0,,,,
profile,grb_mc_00171,uniform,2.0,1.889,2.667,2.667,2.556,1.667,2.241,56.03,56.03,Substantially ready,False,0.0,,,,
profile,grb_mc_00172,uniform,1.889,2.333,1.889,1.667,1.889,2.0,1.944,48.6,48.6,Emerging,False,0.0,,,,
profile,grb_mc_00173,uniform,1.222,1.889,1.778,2.0,3.0,1.222,1.852,46.3,46.3,Emerging,False,0.0,,,,
profile,grb_mc_00174,uniform,1.889,1.222,2.111,2.111,1.778,3.0,2.018,50.45,50.45,Substantially ready,False,0.0,,,,
profile,grb_mc_00175,uniform,2.0,2.444,0.889,2.556,1.889,2.111,1.981,49.53,49.53,Advanced readiness,False,0.0,,,,
profile,grb_mc_00176,uniform,2.0,1.667,1.333,2.111,1.778,2.111,1.833,45.82,45.82,Emerging,False,0.0,,,,
profile,grb_mc_00177,uniform,1.778,1.556,1.889,1.333,1.778,1.556,1.648,41.2,41.2,Emerging,False,0.0,,,,
profile,grb_mc_00178,uniform,1.222,2.333,1.778,2.111,2.556,2.333,2.055,51.38,51.38,Substantially ready,False,0.0,,,,
profile,grb_mc_00179,uniform,3.111,2.0,2.444,2.111,1.333,1.444,2.074,51.85,51.85,Substantially ready,False,0.0,,,,
profile,grb_mc_00180,uniform,1.667,1.889,1.222,2.111,2.111,1.667,1.778,44.45,44.45,Emerging,False,0.0,,,,
profile,grb_mc_00181,uniform,1.778,1.667,1.778,1.667,1.333,3.333,1.926,48.15,48.15,Emerging,False,0.0,,,,
profile,grb_mc_00182,uniform,2.111,2.111,1.889,2.556,1.667,2.222,2.093,52.33,52.33,Substantially ready,False,0.0,,,,
profile,grb_mc_00183,uniform,2.333,1.556,2.778,2.0,2.222,1.889,2.13,53.25,53.25,Substantially ready,False,0.0,,,,
profile,grb_mc_00184,uniform,1.889,2.667,1.0,2.0,2.333,1.333,1.87,46.75,46.75,Emerging,False,0.0,,,,
profile,grb_mc_00185,uniform,2.333,2.667,1.667,2.222,2.444,1.556,2.148,53.7,53.7,Substantially ready,False,0.0,,,,
profile,grb_mc_00186,uniform,2.444,1.111,1.556,2.444,1.889,2.333,1.963,49.08,49.08,Advanced readiness,False,0.0,,,,
profile,grb_mc_00187,uniform,1.444,1.556,2.111,2.667,2.111,1.667,1.926,48.15,48.15,Emerging,False,0.0,,,,
profile,grb_mc_00188,uniform,1.778,1.778,2.222,1.667,1.333,2.111,1.815,45.38,45.38,Emerging,False,0.0,,,,
profile,grb_mc_00189,uniform,1.667,2.111,2.222,2.111,1.889,2.111,2.018,50.45,50.45,Substantially ready,False,0.0,,,,
profile,grb_mc_00190,uniform,1.889,2.111,2.222,1.444,2.333,2.222,2.037,50.92,50.92,Substantially ready,False,0.0,,,,
profile,grb_mc_00191,uniform,2.444,2.333,2.0,1.889,2.0,2.111,2.13,53.25,53.25,Substantially ready,False,0.0,,,,
profile,grb_mc_00192,uniform,1.889,2.444,2.222,2.333,2.111,2.222,2.204,55.1,55.1,Substantially ready,False,0.0,,,,
profile,grb_mc_00193,uniform,2.667,1.778,2.0,1.667,1.333,1.778,1.87,46.75,46.75,Emerging,False,0.0,,,,
profile,grb_mc_00194,uniform,2.222,1.889,2.0,1.889,2.444,1.889,2.055,51.38,51.38,Substantially ready,False,0.0,,,,
profile,grb_mc_00195,uniform,1.889,1.111,1.778,2.0,1.333,1.778,1.648,41.2,41.2,Emerging,False,0.0,,,,
profile,grb_mc_00196,uniform,1.444,2.111,1.889,1.222,2.444,1.556,1.778,44.45,44.45,Emerging,False,0.0,,,,
profile,grb_mc_00197,uniform,2.111,2.0,1.889,2.556,1.222,2.0,1.963,49.08,49.08,Advanced readiness,False,0.0,,,,
profile,grb_mc_00198,uniform,2.0,1.556,2.444,1.889,1.556,3.0,2.074,51.85,51.85,Substantially ready,False,0.0,,,,
profile,grb_mc_00199,uniform,2.444,2.222,1.0,1.667,3.222,2.222,2.129,53.23,53.23,Substantially ready,False,0.0,,,,
profile,grb_mc_00200,uniform,1.667,2.556,2.778,1.444,1.778,1.778,2.0,50.0,50.0,Substantially ready,False,0.0,,,,
