record_type,configuration,profile_id,profile_group,excluded_dimensions,overall_maturity,readiness_raw,readiness_final,readiness_band,safeguard_applied,rank,readiness_delta_vs_full,safeguard_delta_vs_full,reference,alternate,spearman,kendall_tau,profiles_rank_changed,total_rank_displacement,mean_readiness_delta,mean_abs_readiness_delta,safeguard_applied_full,safeguard_applied_alternate,safeguard_activation_delta
profile,full,grb_sens_0019,low_d2,none,3.167,79.17,79.17,Advanced readiness,False,19,,,,,,,,,,,,,
profile,full,grb_sens_0020,low_d2,none,2.5,62.5,60.0,Substantially ready,True,103,,,,,,,,,,,,,
profile,full,grb_sens_0021,low_d2,none,2.667,66.67,60.0,Substantially ready,True,103,,,,,,,,,,,,,
profile,full,grb_sens_0022,low_d2,none,2.833,70.83,70.83,Substantially ready,False,65,,,,,,,,,,,,,
profile,full,grb_sens_0023,low_d2,none,3.0,75.0,75.0,Advanced readiness,False,42,,,,,,,,,,,,,
profile,full,grb_sens_0024,low_d2,none,3.167,79.17,79.17,Advanced readiness,False,19,,,,,,,,,,,,,
profile,full,grb_sens_0025,low_d2,none,2.5,62.5,60.0,Substantially ready,True,103,,,,,,,,,,,,,
profile,full,grb_sens_0026,low_d2,none,2.667,66.67,60.0,Substantially ready,True,103,,,,,,,,,,,,,
profile,full,grb_sens_0027,low_d2,none,2.833,70.83,70.83,Substantially ready,False,65,,,,,,,,,,,,,
profile,full,grb_sens_0028,low_d2,none,3.0,75.0,75.0,Advanced readiness,False,42,,,,,,,,,,,,,
profile,full,grb_sens_0029,low_d2,none,3.167,79.17,79.17,Advanced readiness,False,19,,,,,,,,,,,,,
profile,full,grb_sens_0030,low_d2,none,2.5,62.5,60.0,Substantially ready,True,103,,,,,,,,,,,,,
profile,full,grb_sens_0031,low_d2,none,2.667,66.67,60.0,Substantially ready,True,103,,,,,,,,,,,,,
profile,full,grb_sens_0032,low_d2,none,2.833,70.83,70.83,Substantially ready,False,65,,,,,,,,,,,,,
profile,full,grb_sens_0033,low_d2,none,3.0,75.0,75.0,Advanced readiness,False,42,,,,,,,,,,,,,
profile,full,grb_sens_0034,low_d2,none,3.167,79.17,79.17,Advanced readiness,False,19,,,,,,,,,,,,,
profile,full,grb_sens_0035,low_d2,none,2.5,62.5,60.0,Substantially ready,True,103,,,,,,,,,,,,,
profile,full,grb_sens_0036,low_d2,none,2.667,66.67,60.0,Substantially ready,True,103,,,,,,,,,,,,,
profile,full,grb_sens_0037,low_d2,none,2.833,70.83,70.83,Substantially ready,False,65,,,,,,,,,,,,,
profile,full,grb_sens_0038,low_d2,none,3.0,75.0,75.0,Advanced readiness,False,42,,,,,,,,,,,,,
profile,full,grb_sens_0039,low_d2,none,3.167,79.17,79.17,Advanced readiness,False,19,,,,,,,,,,,,,
profile,full,grb_sens_0040,low_d4,none,2.5,62.5,60.0,Substantially ready,True,103,,,,,,,,,,,,,
profile,full,grb_sens_0041,low_d4,none,2.667,66.67,60.0,Substantially ready,True,103,,,,,,,,,,,,,
profile,full,grb_sens_0042,low_d4,none,2.833,70.83,70.83,Substantially ready,False,65,,,,,,,,,,,,,
profile,full,grb_sens_0043,low_d4,none,3.0,75.0,75.0,Advanced readiness,False,42,,,,,,,,,,,,,
profile,full,grb_sens_0044,low_d4,none,3.167,79.17,79.17,Advanced readiness,False,19,,,,,,,,,,,,,
profile,full,grb_sens_0045,low_d4,none,2.5,62.5,60.0,Substantially ready,True,103,,,,,,,,,,,,,
profile,full,grb_sens_0046,low_d4,none,2.667,66.67,60.0,Substantially ready,True,103,,,,,,,,,,,,,
profile,full,grb_sens_0047,low_d4,none,2.833,70.83,70.83,Substantially ready,False,65,,,,,,,,,,,,,
profile,full,grb_sens_0048,low_d4,none,3.0,75.0,75.0,Advanced readiness,False,42,,,,,,,,,,,,,
profile,full,grb_sens_0049,low_d4,none,3.167,79.17,79.17,Advanced readiness,False,19,,,,,,,,,,,,,
profile,full,grb_sens_0050,low_d4,none,2.5,62.5,60.0,Substantially ready,True,103,,,,,,,,,,,,,
profile,full,grb_sens_0051,low_d4,none,2.667,66.67,60.0,Substantially ready,True,103,,,,,,,,,,,,,
profile,full,grb_sens_0052,low_d4,none,2.833,70.83,70.83,Substantially ready,False,65,,,,,,,,,,,,,
profile,full,grb_sens_0053,low_d4,none,3.0,75.0,75.0,Advanced readiness,False,42,,,,,,,,,,,,,
profile,full,grb_sens_0054,low_d4,none,3.167,79.17,79.17,Advanced readiness,False,19,,,,,,,,,,,,,
profile,full,grb_sens_0055,low_d4,none,2.5,62.5,60.0,Substantially ready,True,103,,,,,,,,,,,,,
profile,full,grb_sens_0056,low_d4,none,2.667,66.67,60.0,Substantially ready,True,103,,,,,,,,,,,,,
profile,full,grb_sens_0057,low_d4,none,2.833,70.83,70.83,Substantially ready,False,65,,,,,,,,,,,,,
profile,full,grb_sens_0058,low_d4,none,3.0,75.0,75.0,Advanced readiness,False,42,,,,,,,,,,,,,
profile,full,grb_sens_0059,low_d4,none,3.167,79.17,79.17,Advanced readiness,False,19,,,,,,,,,,,,,
profile,full,grb_sens_0060,low_d4,none,2.5,62.5,60.0,Substantially ready,True,103,,,,,,,,,,,,,
profile,full,grb_sens_0061,low_d4,none,2.667,66.67,60.0,Substantially ready,True,103,,,,,,,,,,,,,
profile,full,grb_sens_0062,low_d4,none,2.833,70.83,70.83,Substantially ready,False,65,,,,,,,,,,,,,
profile,full,grb_sens_0063,low_d4,none,3.0,75.0,75.0,Advanced readiness,False,42,,,,,,,,,,,,,
profile,full,grb_sens_0064,low_d4,none,3.167,79.17,79.17,Advanced readiness,False,19,,,,,,,,,,,,,
profile,full,grb_sens_0065,low_d4,none,2.5,62.5,60.0,Substantially ready,True,103,,,,,,,,,,,,,
profile,full,grb_sens_0066,low_d4,none,2.667,66.67,60.0,Substantially ready,True,103,,,,,,,,,,,,,
profile,full,grb_sens_0067,low_d4,none,2.833,70.83,70.83,Substantially ready,False,65,,,,,,,,,,,,,
profile,full,grb_sens_0068,low_d4,none,3.0,75.0,75.0,Advanced readiness,False,42,,,,,,,,,,,,,
profile,full,grb_sens_0069,low_d4,none,3.167,79.17,79.17,Advanced readiness,False,19,,,,,,,,,,,,,
profile,full,grb_sens_0070,high_d6,none,2.5,62.5,62.5,Substantially ready,False,83,,,,,,,,,,,,,
profile,full,grb_sens_0071,high_d6,none,2.667,66.67,66.67,Substantially ready,False,77,,,,,,,,,,,,,
profile,full,grb_sens_0072,high_d6,none,2.833,70.83,70.83,Substantially ready,False,65,,,,,,,,,,,,,
profile,full,grb_sens_0073,high_d6,none,3.0,75.0,75.0,Advanced readiness,False,42,,,,,,,,,,,,,
profile,full,grb_sens_0074,high_d6,none,3.167,79.17,79.17,Advanced readiness,False,19,,,,,,,,,,,,,
profile,full,grb_sens_0075,high_d6,none,2.5,62.5,62.5,Substantially ready,False,83,,,,,,,,,,,,,
profile,full,grb_sens_0076,high_d6,none,2.667,66.67,66.67,Substantially ready,False,77,,,,,,,,,,,,,
profile,full,grb_sens_0077,high_d6,none,2.833,70.83,70.83,Substantially ready,False,65,,,,,,,,,,,,,
profile,full,grb_sens_0078,high_d6,none,3.0,75.0,75.0,Advanced readiness,False,42,,,,,,,,,,,,,
profile,full,grb_sens_0079,high_d6,none,3.167,79.17,79.17,Advanced readiness,False,19,,,,,,,,,,,,,
profile,full,grb_sens_0080,high_d6,none,2.5,62.5,62.5,Substantially ready,False,83,,,,,,,,,,,,,
profile,full,grb_sens_0081,high_d6,none,2.667,66.67,66.67,Substantially ready,False,77,,,,,,,,,,,,,
profile,full,grb_sens_0082,high_d6,none,2.833,70.83,70.83,Substantially ready,False,65,,,,,,,,,,,,,
profile,full,grb_sens_0083,high_d6,none,3.0,75.0,75.0,Advanced readiness,False,42,,,,,,,,,,,,,
profile,full,grb_sens_0084,high_d6,none,3.167,79.17,79.17,Advanced readiness,False,19,,,,,,,,,,,,,
profile,full,grb_sens_0085,high_d6,none,2.5,62.5,62.5,Substantially ready,False,83,,,,,,,,,,,,,
profile,full,grb_sens_0086,high_d6,none,2.667,66.67,66.67,Substantially ready,False,77,,,,,,,,,,,,,
profile,full,grb_sens_0087,high_d6,none,2.833,70.83,70.83,Substantially ready,False,65,,,,,,,,,,,,,
profile,full,grb_sens_0088,high_d6,none,3.0,75.0,75.0,Advanced readiness,False,42,,,,,,,,,,,,,
profile,full,grb_sens_0089,high_d6,none,3.167,79.17,79.17,Advanced readiness,False,19,,,,,,,,,,,,,
profile,full,grb_sens_0090,high_d6,none,2.5,62.5,62.5,Substantially ready,False,83,,,,,,,,,,,,,
profile,full,grb_sens_0091,high_d6,none,2.667,66.67,66.67,Substantially ready,False,77,,,,,,,,,,,,,
profile,full,grb_sens_0092,high_d6,none,2.833,70.83,70.83,Substantially ready,False,65,,,,,,,,,,,,,
profile,full,grb_sens_0093,high_d6,none,3.0,75.0,75.0,Advanced readiness,False,42,,,,,,,,,,,,,
profile,full,grb_sens_0094,high_d6,none,3.167,79.17,79.17,Advanced readiness,False,19,,,,,,,,,,,,,
profile,full,grb_sens_0095,high_d6,none,2.5,62.5,62.5,Substantially ready,False,83,,,,,,,,,,,,,
profile,full,grb_sens_0096,high_d6,none,2.667,66.67,66.67,Substantially ready,False,77,,,,,,,,,,,,,
profile,full,grb_sens_0097,high_d6,none,2.833,70.83,70.83,Substantially ready,False,65,,,,,,,,,,,,,
profile,full,grb_sens_0098,high_d6,none,3.0,75.0,75.0,Advanced readiness,False,42,,,,,,,,,,,,,
profile,full,grb_sens_0099,high_d6,none,3.167,79.17,79.17,Advanced readiness,False,19,,,,,,,,,,,,,
profile,full,grb_sens_0100,mixed,none,2.5,62.5,60.0,Substantially ready,True,103,,,,,,,,,,,,,
profile,full,grb_sens_0101,mixed,none,3.5,87.5,87.5,Advanced readiness,False,5,,,,,,,,,,,,,
profile,full,grb_sens_0102,mixed,none,2.0,50.0,50.0,Substantially ready,False,145,,,,,,,,,,,,,
profile,full,grb_sens_0103,mixed,none,2.167,54.17,54.17,Substantially ready,False,135,,,,,,,,,,,,,
profile,full,grb_sens_0104,mixed,none,2.333,58.33,58.33,Substantially ready,False,125,,,,,,,,,,,,,
profile,full,grb_sens_0105,mixed,none,2.5,62.5,60.0,Substantially ready,True,103,,,,,,,,,,,,,
profile,full,grb_sens_0106,mixed,none,3.5,87.5,87.5,Advanced readiness,False,5,,,,,,,,,,,,,
profile,full,grb_sens_0107,mixed,none,2.0,50.0,50.0,Substantially ready,False,145,,,,,,,,,,,,,
profile,full,grb_sens_0108,mixed,none,2.167,54.17,54.17,Substantially ready,False,135,,,,,,,,,,,,,
profile,full,grb_sens_0109,mixed,none,2.333,58.33,58.33,Substantially ready,False,125,,,,,,,,,,,,,
profile,full,grb_sens_0110,mixed,none,2.5,62.5,60.0,Substantially ready,True,103,,,,,,,,,,,,,
profile,full,grb_sens_0111,mixed,none,3.5,87.5,87.5,Advanced readiness,False,5,,,,,,,,,,,,,
profile,full,grb_sens_0112,mixed,none,2.0,50.0,50.0,Substantially ready,False,145,,,,,,,,,,,,,
profile,full,grb_sens_0113,mixed,none,2.167,54.17,54.17,Substantially ready,False,135,,,,,,,,,,,,,
profile,full,grb_sens_0114,mixed,none,2.333,58.33,58.33,Substantially ready,False,125,,,,,,,,,,,,,
profile,full,grb_sens_0115,mixed,none,2.5,62.5,60.0,Substantially ready,True,103,,,,,,,,,,,,,
profile,full,grb_sens_0116,mixed,none,3.5,87.5,87.5,Advanced readiness,False,5,,,,,,,,,,,,,
profile,full,grb_sens_0117,mixed,none,2.0,50.0,50.0,Substantially ready,False,145,,,,,,,,,,,,,
profile,full,grb_sens_0118,mixed,none,2.167,54.17,54.17,Substantially ready,False,135,,,,,,,,,,,,,
profile,full,grb_sens_0119,mixed,none,2.333,58.33,58.33,Substantially ready,False,125,,,,,,,,,,,,,
profile,full,grb_sens_0120,mixed,none,2.5,62.5,60.0,Substantially ready,True,103,,,,,,,,,,,,,
profile,full,grb_sens_0121,mixed,none,3.5,87.5,87.5,Advanced readiness,False,5,,,,,,,,,,,,,
profile,full,grb_sens_0122,mixed,none,2.0,50.0,50.0,Substantially ready,False,145,,,,,,,,,,,,,
profile,full,grb_sens_0123,mixed,none,2.167,54.17,54.17,Substantially ready,False,135,,,,,,,,,,,,,
profile,full,grb_sens_0124,mixed,none,2.333,58.33,58.33,Substantially ready,False,125,,,,,,,,,,,,,
profile,full,grb_sens_0125,mixed,none,2.5,62.5,60.0,Substantially ready,True,103,,,,,,,,,,,,,
profile,full,grb_sens_0126,mixed,none,3.5,87.5,87.5,Advanced readiness,False,5,,,,,,,,,,,,,
profile,full,grb_sens_0127,mixed,none,2.0,50.0,50.0,Substantially ready,False,145,,,,,,,,,,,,,
profile,full,grb_sens_0128,mixed,none,2.167,54.17,54.17,Substantially ready,False,135,,,,,,,,,,,,,
profile,full,grb_sens_0129,mixed,none,2.333,58.33,58.33,Substantially ready,False,125,,,,,,,,,,,,,
profile,full,grb_sens_0130,mixed,none,2.5,62.5,60.0,Substantially ready,True,103,,,,,,,,,,,,,
profile,full,grb_sens_0131,mixed,none,3.5,87.5,87.5,Advanced readiness,False,5,,,,,,,,,,,,,
profile,full,grb_sens_0132,mixed,none,2.0,50.0,50.0,Substantially ready,False,145,,,,,,,,,,,,,
profile,full,grb_sens_0133,mixed,none,2.167,54.17,54.17,Substantially ready,False,135,,,,,,,,,,,,,
profile,full,grb_sens_0134,mixed,none,2.333,58.33,58.33,Substantially ready,False,125,,,,,,,,,,,,,
profile,full,grb_sens_0135,mixed,none,2.5,62.5,60.0,Substantially ready,True,103,,,,,,,,,,,,,
profile,full,grb_sens_0136,mixed,none,3.5,87.5,87.5,Advanced readiness,False,5,,,,,,,,,,,,,
profile,full,grb_sens_0137,mixed,none,2.0,50.0,50.0,Substantially ready,False,145,,,,,,,,,,,,,
profile,full,grb_sens_0138,mixed,none,2.167,54.17,54.17,Substantially ready,False,135,,,,,,,,,,,,,
profile,full,grb_sens_0139,mixed,none,2.333,58.33,58.33,Substantially ready,False,125,,,,,,,,,,,,,
profile,full,grb_sens_0140,mixed,none,2.5,62.5,60.0,Substantially ready,True,103,,,,,,,,,,,,,
profile,full,grb_sens_0141,mixed,none,3.5,87.5,87.5,Advanced readiness,False,5,,,,,,,,,,,,,
profile,full,grb_sens_0142,mixed,none,2.0,50.0,50.0,Substantially ready,False,145,,,,,,,,,,,,,
profile,full,grb_sens_0143,mixed,none,2.167,54.17,54.17,Substantially ready,False,135,,,,,,,,,,,,,
profile,full,grb_sens_0144,mixed,none,2.333,58.33,58.33,Substantially ready,False,125,,,,,,,,,,,,,
profile,full,grb_sens_0145,mixed,none,2.5,62.5,60.0,Substantially ready,True,103,,,,,,,,,,,,,
profile,full,grb_sens_0146,mixed,none,3.5,87.5,87.5,Advanced readiness,False,5,,,,,,,,,,,,,
profile,full,grb_sens_0147,mixed,none,2.0,50.0,50.0,Substantially ready,False,145,,,,,,,,,,,,,
profile,full,grb_sens_0148,mixed,none,2.167,54.17,54.17,Substantially ready,False,135,,,,,,,,,,,,,
profile,full,grb_sens_0149,mixed,none,2.333,58.33,58.33,Substantially ready,False,125,,,,,,,,,,,,,
profile,without_d2,grb_sens_0000,baseline,d2,3.0,75.0,75.0,Advanced readiness,False,48,0.0,0,,,,,,,,,,,
profile,without_d2,grb_sens_0001,baseline,d2,3.0,75.0,75.0,Advanced readiness,False,48,0.0,0,,,,,,,,,,,
profile,without_d2,grb_sens_0002,baseline,d2,3.0,75.0,75.0,Advanced readiness,False,48,0.0,0,,,,,,,,,,,
profile,without_d2,grb_sens_0003,baseline,d2,3.0,75.0,75.0,Advanced readiness,False,48,0.0,0,,,,,,,,,,,
profile,without_d2,grb_sens_0004,baseline,d2,3.0,75.0,75.0,Advanced readiness,False,48,0.0,0,,,,,,,,,,,
profile,without_d2,grb_sens_0005,baseline,d2,3.0,75.0,75.0,Advanced readiness,False,48,0.0,0,,,,,,,,,,,
profile,without_d2,grb_sens_0006,baseline,d2,3.0,75.0,75.0,Advanced readiness,False,48,0.0,0,,,,,,,,,,,
profile,without_d2,grb_sens_0007,baseline,d2,3.0,75.0,75.0,Advanced readiness,False,48,0.0,0,,,,,,,,,,,
profile,without_d2,grb_sens_0008,baseline,d2,3.0,75.0,75.0,Advanced readiness,False,48,0.0,0,,,,,,,,,,,
profile,without_d2,grb_sens_0009,baseline,d2,3.0,75.0,75.0,Advanced readiness,False,48,0.0,0,,,,,,,,,,,
profile,without_d2,grb_sens_0010,low_d2,d2,3.0,75.0,75.0,Advanced readiness,False,48,15.0,-1,,,,,,,,,,,
profile,without_d2,grb_sens_0011,low_d2,d2,3.0,75.0,75.0,Advanced readiness,False,48,15.0,-1,,,,,,,,,,,
profile,without_d2,grb_sens_0012,low_d2,d2,3.0,75.0,75.0,Advanced readiness,False,48,4.17,0,,,,,,,,,,,
profile,without_d2,grb_sens_0013,low_d2,d2,3.0,75.0,75.0,Advanced readiness,False,48,0.0,0,,,,,,,,,,,
profile,without_d2,grb_sens_0014,low_d2,d2,3.0,75.0,75.0,Advanced readiness,False,48,-4.17,0,,,,,,,,,,,
profile,without_d2,grb_sens_0015,low_d2,d2,3.0,75.0,75.0,Advanced readiness,False,48,15.0,-1,,,,,,,,,,,
profile,without_d2,grb_sens_0016,low_d2,d2,3.0,75.0,75.0,Advanced readiness,False,48,15.0,-1,,,,,,,,,,,
profile,without_d2,grb_sens_0017,low_d2,d2,3.0,75.0,75.0,Advanced readiness,False,48,4.17,0,,,,,,,,,,,
profile,without_d2,grb_sens_0018,low_d2,d2,3.0,75.0,75.0,Advanced readiness,False,48,0.0,0,,,,,,,,,,,
profile,without_d2,grb_sens_0019,low_d2,d2,3.0,75.0,75.0,Advanced readiness,False,48,-4.17,0,,,,,,,,,,,
profile,without_d2,grb_sens_0020,low_d2,d2,3.0,75.0,75.0,Advanced readiness,False,48,15.0,-1,,,,,,,,,,,
profile,without_d2,grb_sens_0021,low_d2,d2,3.0,75.0,75.0,Advanced readiness,False,48,15.0,-1,,,,,,,,,,,
profile,without_d2,grb_sens_0022,low_d2,d2,3.0,75.0,75.0,Advanced readiness,False,48,4.17,0,,,,,,,,,,,
profile,without_d2,grb_sens_0023,low_d2,d2,3.0,75.0,75.0,Advanced readiness,False,48,0.0,0,,,,,,,,,,,
profile,without_d2,grb_sens_0024,low_d2,d2,3.0,75.0,75.0,Advanced readiness,False,48,-4.17,0,,,,,,,,,,,
profile,without_d2,grb_sens_0025,low_d2,d2,3.0,75.0,75.0,Advanced readiness,False,48,15.0,-1,,,,,,,,,,,
profile,without_d2,grb_sens_0026,low_d2,d2,3.0,75.0,75.0,Advanced readiness,False,48,15.0,-1,,,,,,,,,,,
profile,without_d2,grb_sens_0027,low_d2,d2,3.0,75.0,75.0,Advanced readiness,False,48,4.17,0,,,,,,,,,,,
profile,without_d2,grb_sens_0028,low_d2,d2,3.0,75.0,75.0,Advanced readiness,False,48,0.0,0,,,,,,,,,,,
profile,without_d2,grb_sens_0029,low_d2,d2,3.0,75.0,75.0,Advanced readiness,False,48,-4.17,0,,,,,,,,,,,
profile,without_d2,grb_sens_0030,low_d2,d2,3.0,75.0,75.0,Advanced readiness,False,48,15.0,-1,,,,,,,,,,,
profile,without_d2,grb_sens_0031,low_d2,d2,3.0,75.0,75.0,Advanced readiness,False,48,15.0,-1,,,,,,,,,,,
profile,without_d2,grb_sens_0032,low_d2,d2,3.0,75.0,75.0,Advanced readiness,False,48,4.17,0,,,,,,,,,,,
profile,without_d2,grb_sens_0033,low_d2,d2,3.0,75.0,75.0,Advanced readiness,False,48,0.0,0,,,,,,,,,,,
profile,without_d2,grb_sens_0034,low_d2,d2,3.0,75.0,75.0,Advanced readiness,False,48,-4.17,0,,,,,,,,,,,
profile,without_d2,grb_sens_0035,low_d2,d2,3.0,75.0,75.0,Advanced readiness,False,48,15.0,-1,,,,,,,,,,,
profile,without_d2,grb_sens_0036,low_d2,d2,3.0,75.0,75.0,Advanced readiness,False,48,15.0,-1,,,,,,,,,,,
profile,without_d2,grb_sens_0037,low_d2,d2,3.0,75.0,75.0,Advanced readiness,False,48,4.17,0,,,,,,,,,,,
profile,without_d2,grb_sens_0038,low_d2,d2,3.0,75.0,75.0,Advanced readiness,False,48,0.0,0,,,,,,,,,,,
profile,without_d2,grb_sens_0039,low_d2,d2,3.0,75.0,75.0,Advanced readiness,False,48,-4.17,0,,,,,,,,,,,
profile,without_d2,grb_sens_0040,low_d4,d2,2.4,60.0,60.0,Substantially ready,False,121,0.0,-1,,,,,,,,,,,
profile,without_d2,grb_sens_0041,low_d4,d2,2.6,65.0,60.0,Substantially ready,True,121,0.0,0,,,,,,,,,,,
profile,without_d2,grb_sens_0042,low_d4,d2,2.8,70.0,70.0,Substantially ready,False,85,-0.83,0,,,,,,,,,,,
profile,without_d2,grb_sens_0043,low_d4,d2,3.0,75.0,75.0,Advanced readiness,False,48,0.0,0,,,,,,,,,,,
profile,without_d2,grb_sens_0044,low_d4,d2,3.2,80.0,80.0,Advanced readiness,False,16,0.83,0,,,,,,,,,,,
profile,without_d2,grb_sens_0045,low_d4,d2,2.4,60.0,60.0,Substantially ready,False,121,0.0,-1,,,,,,,,,,,
profile,without_d2,grb_sens_0046,low_d4,d2,2.6,65.0,60.0,Substantially ready,True,121,0.0,0,,,,,,,,,,,
profile,without_d2,grb_sens_0047,low_d4,d2,2.8,70.0,70.0,Substantially ready,False,85,-0.83,0,,,,,,,,,,,
profile,without_d2,grb_sens_0048,low_d4,d2,3.0,75.0,75.0,Advanced readiness,False,48,0.0,0,,,,,,,,,,,
profile,without_d2,grb_sens_0049,low_d4,d2,3.2,80.0,80.0,Advanced readiness,False,16,0.83,0,,,,,,,,,,,
profile,without_d2,grb_sens_0050,low_d4,d2,2.4,60.0,60.0,Substantially ready,False,121,0.0,-1,,,,,,,,,,,
profile,without_d2,grb_sens_0051,low_d4,d2,2.6,65.0,60.0,Substantially ready,True,121,0.0,0,,,,,,,,,,,
profile,without_d2,grb_sens_0052,low_d4,d2,2.8,70.0,70.0,Substantially ready,False,85,-0.83,0,,,,,,,,,,,
profile,without_d2,grb_sens_0053,low_d4,d2,3.0,75.0,75.0,Advanced readiness,False,48,0.0,0,,,,,,,,,,,
profile,without_d2,grb_sens_0054,low_d4,d2,3.2,80.0,80.0,Advanced readiness,False,16,0.83,0,,,,,,,,,,,
profile,without_d2,grb_sens_0055,low_d4,d2,2.4,60.0,60.0,Substantially ready,False,121,0.0,-1,,,,,,,,,,,
profile,without_d2,grb_sens_0056,low_d4,d2,2.6,65.0,60.0,Substantially ready,True,121,0.0,0,,,,,,,,,,,
profile,without_d2,grb_sens_0057,low_d4,d2,2.8,70.0,70.0,Substantially ready,False,85,-0.83,0,,,,,,,,,,,
profile,without_d2,grb_sens_0058,low_d4,d2,3.0,75.0,75.0,Advanced readiness,False,48,0.0,0,,,,,,,,,,,
profile,without_d2,grb_sens_0059,low_d4,d2,3.2,80.0,80.0,Advanced readiness,False,16,0.83,0,,,,,,,,,,,
profile,without_d2,grb_sens_0060,low_d4,d2,2.4,60.0,60.0,Substantially ready,False,121,0.0,-1,,,,,,,,,,,
profile,without_d2,grb_sens_0061,low_d4,d2,2.6,65.0,60.0,Substantially ready,True,121,0.0,0,,,,,,,,,,,
profile,without_d2,grb_sens_0062,low_d4,d2,2.8,70.0,70.0,Substantially ready,False,85,-0.83,0,,,,,,,,,,,
profile,without_d2,grb_sens_0063,low_d4,d2,3.0,75.0,75.0,Advanced readiness,False,48,0.0,0,,,,,,,,,,,
profile,without_d2,grb_sens_0064,low_d4,d2,3.2,80.0,80.0,Advanced readiness,False,16,0.83,0,,,,,,,,,,,
profile,without_d2,grb_sens_0065,low_d4,d2,2.4,60.0,60.0,Substantially ready,False,121,0.0,-1,,,,,,,,,,,
profile,without_d2,grb_sens_0066,low_d4,d2,2.6,65.0,60.0,Substantially ready,True,121,0.0,0,,,,,,,,,,,
profile,without_d2,grb_sens_0067,low_d4,d2,2.8,70.0,70.0,Substantially ready,False,85,-0.83,0,,,,,,,,,,,
profile,without_d2,grb_sens_0068,low_d4,d2,3.0,75.0,75.0,Advanced readiness,False,48,0.0,0,,,,,,,,,,,
profile,without_d2,grb_sens_0069,low_d4,d2,3.2,80.0,80.0,Advanced readiness,False,16,0.83,0,,,,,,,,,,,
profile,without_d2,grb_sens_0070,high_d6,d2,2.4,60.0,60.0,Substantially ready,False,121,-2.5,0,,,,,,,,,,,
profile,without_d2,grb_sens_0071,high_d6,d2,2.6,65.0,65.0,Substantially ready,False,104,-1.67,0,,,,,,,,,,,
profile,without_d2,grb_sens_0072,high_d6,d2,2.8,70.0,70.0,Substantially ready,False,85,-0.83,0,,,,,,,,,,,
profile,without_d2,grb_sens_0073,high_d6,d2,3.0,75.0,75.0,Advanced readiness,False,48,0.0,0,,,,,,,,,,,
profile,without_d2,grb_sens_0074,high_d6,d2,3.2,80.0,80.0,Advanced readiness,False,16,0.83,0,,,,,,,,,,,
profile,without_d2,grb_sens_0075,high_d6,d2,2.4,60.0,60.0,Substantially ready,False,121,-2.5,0,,,,,,,,,,,
profile,without_d2,grb_sens_0076,high_d6,d2,2.6,65.0,65.0,Substantially ready,False,104,-1.67,0,,,,,,,,,,,
